index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
47,57,0,0.475915,0,0,0,0,0,-0.0924765
48,58,0,0.48583,0,0,0,0,0,-0.166458
49,59,0,0.495745,0,0,0,0,0,-0.221943
50,60,0,0.50566,0,0,0,0,0,-0.258934
51,61,0,0.515574,0,0,0,0,0,-0.277429
52,62,0,0.525489,0,-0.0002,0,-0.0201717,0,-0.184953
53,63,0,0.535404,0,-0.0004,0,-0.0201717,0,-0.0924765
54,64,0,0.545319,-1,-0.0006,-1,-0.0201717,-1,0
55,65,0,0.555234,-1,-0.0008,0,-0.0201717,1,0.0924765
56,66,0,0.565149,-1,-0.001,0,-0.0201717,0,0.184953
57,67,0,0.575064,-1,-0.001,0,0,0,0.277429
58,68,0,0.584979,-1,-0.001,0,0,0,0.258934
59,69,0,0.594894,-1,-0.001,0,0,0,0.31442
60,70,0,0.604809,-1,-0.001,0,0,0,0.425392
61,71,0,0.614723,-1,-0.001,0,0,0,0.480878
62,72,0,0.624638,-1,-0.001,0,0,0,0.573354
63,73,0,0.634553,-1,-0.001,0,0,0,0.795298
64,74,0,0.644468,-1,-0.0008,0,0.0201717,0,0.94326
65,75,0,0.654383,-1,-0.0004,0,0.0403434,0,1.01724
66,76,0,0.664298,0,0,1,0.0403434,1,1.10972
67,76,1,0.674213,1,0.0006,1,0.060515,0,1.10972
68,78,0,0.684128,1,0.0014,0,0.0806867,-1,1.01724
69,79,0,0.694043,2,0.0022,1,0.0806867,1,0.832288
70,80,0,0.703957,3,0.003,1,0.0806867,0,0.758307
71,81,0,0.713872,4,0.004,1,0.100858,0,0.702821
72,82,0,0.723787,5,0.005,1,0.100858,0,0.573354
73,83,0,0.733702,6,0.006,1,0.100858,0,0.573354
74,84,0,0.743617,7,0.007,1,0.100858,0,0.610345
75,84,1,0.753532,8,0.0082,1,0.12103,0,0.591849
76,85,0,0.763447,9,0.0094,1,0.12103,0,0.610345
77,87,0,0.773362,11,0.0106,2,0.12103,1,0.758307
78,88,0,0.783277,12,0.012,1,0.141202,-1,0.832288
79,89,0,0.793191,13,0.0134,1,0.141202,0,0.924765
80,90,0,0.803106,15,0.0148,2,0.141202,1,0.924765
81,91,0,0.813021,16,0.0164,1,0.161373,-1,0.94326
82,92,0,0.822936,18,0.0182,2,0.181545,1,0.887774
83,93,0,0.832851,20,0.02,2,0.181545,0,0.850783
84,94,0,0.842766,22,0.022,2,0.201717,0,0.832288
85,95,0,0.852681,24,0.024,2,0.201717,0,0.739812
86,96,0,0.862596,26,0.026,2,0.201717,0,0.66583
